"","Latitude","Longitude"
"69",-41.3978311111111,-71.5729777777778
"70",-41.3982577777778,-71.5734755555555
"71",-41.3981155555556,-71.5733333333333
"72",-41.3981155555556,-71.57312
"73",-41.3981155555556,-71.5731911111111
"74",-41.3981866666667,-71.57312
"75",-41.3981155555556,-71.5732622222222
"76",-41.3979733333333,-71.5736177777778
"77",-41.3979022222222,-71.5730488888889
"78",-41.3978311111111,-71.57376
"79",-41.3980444444444,-71.5731911111111
"80",-41.3980444444444,-71.5732622222222
"81",-41.3980444444444,-71.5732622222222
"82",-41.3979733333333,-71.5730488888889
"83",-41.3980444444444,-71.57312
"84",-41.3979733333333,-71.57312
"85",-41.3979022222222,-71.5732622222222
"86",-41.3970488888889,-71.5726933333333
"87",-41.3970488888889,-71.5744
"88",-41.3976888888889,-71.5741155555556
"89",-41.3979022222222,-71.5741155555556
"90",-41.39776,-71.5741155555556
"91",-41.39776,-71.5741155555556
"92",-41.3976888888889,-71.5741866666667
"93",-41.3972622222222,-71.5738311111111
"94",-41.3976177777778,-71.5729777777778
"95",-41.39776,-71.5726222222222
"96",-41.3972622222222,-71.5724088888889
"97",-41.3969777777778,-71.5714844444444
"98",-41.3969066666667,-71.5713422222222
"99",-41.3969066666667,-71.5710577777778
"100",-41.3966933333333,-71.5714844444444
"101",-41.39648,-71.5713422222222
"102",-41.3956977777778,-71.5712
"103",-41.39584,-71.5712711111111
"104",-41.3928533333333,-71.5702044444444
"105",-41.3920711111111,-71.5709866666667
"106",-41.39008,-71.5691377777778
"107",-41.3903644444444,-71.568
"108",-41.3905777777778,-71.5671466666667
"109",-41.3905777777778,-71.5674311111111
"110",-41.3905777777778,-71.5668622222222
"111",-41.3892977777778,-71.5689244444444
"112",-41.3903644444444,-71.5676444444444
"113",-41.3907911111111,-71.5730488888889
"114",-41.3910044444444,-71.5727644444444
"115",-41.3910755555556,-71.5729777777778
"116",-41.3909333333333,-71.5730488888889
"117",-41.3908622222222,-71.5726933333333
"118",-41.3909333333333,-71.5729066666667
"119",-41.3908622222222,-71.5728355555556
"120",-41.3909333333333,-71.5729066666667
"121",-41.3909333333333,-71.5729066666667
"122",-41.3906488888889,-71.5726933333333
"123",-41.3906488888889,-71.5665066666667
"124",-41.3900088888889,-71.5647288888889
"125",-41.3892977777778,-71.5648711111111
"126",-41.3897955555556,-71.5646577777778
"127",-41.3899377777778,-71.5645155555556
"128",-41.3898666666667,-71.5648
"129",-41.3899377777778,-71.5643733333333
"130",-41.3893688888889,-71.5649422222222
"131",-41.3861688888889,-71.5651555555555
"132",-41.3860977777778,-71.5657244444444
"133",-41.38624,-71.5656533333333
