,Parcela,Fecha,Dia,Mes,Año,Càmara,Latitud,Longitud,Altura,Pendiente,Orientación,Aspect,Ambiente,Cobertura.TOTAL,Grado.ramoneo,Total_ramoneadas,proporcion,Riqueza,bostas,Forraje..altura.,Pasto,Troncos.caidos,Altura.de.tronco,Roca,Suelo.desnudo,Distancia.a.picada,X.utm,Y.utm,x,y,std_elevation,std_slope,sqr.Altura,sqr.Pendiente,std_sqr.elevation,std_sqr.slope,std_rocks,std_grass,std_soil,std_distance,li,x,y
188,NiPi 14,,27,2,2014,,-41.4397,-71.5719,1049,1,,,abierto,95,2,7,0.67,6,8,5,80,NA,NA,0,5,16,285134.024437401,5409237.39212549,-71.5719,-41.4397,-1.1186364759,-0.9998479034,1100401,1,-1.0652418643,-0.6838832843,-0.3411170978,4.4729604132,-0.5144040445,0.1981383818,0.4749291999,1.383922275,-21.7338202546
189,NiPi 15,,27,2,2014,,-41.4399,-71.5706,1051,2,,270,forest,80,3,3,0.4285714286,7,1,6,3,NA,NA,0,15,2,285243.30019394,5409218.41388741,-71.5706,-41.4399,-1.1102330011,-0.9043474807,1104601,4,-1.0587191405,-0.6753304048,-0.3411170978,-0.3592556656,0.209665296,-0.9330772024,-1.1232341436,22.031153703,23.3699948053
190,NiPi 16,,27,2,2014,,-41.4403,-71.5685,1065,1,W,260,forest,75,2,3,0.6,5,0,NA,0,3,20,0,8,10,285420.074709465,5409179.21236673,-71.5685,-41.4403,-1.0514086768,-0.9998479034,1134225,1,-1.0127121951,-0.6838832843,-0.3411170978,-0.5475238245,-0.2971832423,-0.2866682971,-0.9808443724,33.1698971473,31.572716025
191,NiPi 17,,27,2,2014,,-41.4386,-71.5701,1044,2,,280,forest,90,3,5,0.8333333333,6,0,8,3,3,40,0,8,5,285280.787408133,5409363.99667794,-71.5701,-41.4386,-1.1396451632,-0.9043474807,1089936,4,-1.0814943179,-0.6753304048,-0.3411170978,-0.3592556656,-0.2971832423,-0.6906738629,0.8309861412,29.8573630199,17.1453207519
192,NiPi 18,,27,2,2014,,-41.4391,-71.5688,1068,2,W,270,forest,80,2,7,0.875,8,3,5,30,3,20,1,3,5,285391.053540054,5409311.70656878,-71.5688,-41.4391,-1.0388034645,-0.9043474807,1140624,4,-1.0027743595,-0.6753304048,-0.2744398181,1.3351577647,-0.6592179126,-0.6906738629,-1.045675333,27.4180164258,8.4784078107
193,NiPi 19,,27,2,2014,,-41.4387,-71.5676,1090,8,W,260,matorral,80,1,1,NA,NA,0,NA,0,NA,NA,0,15,30,285489.997198156,5409359.09566166,-71.5676,-41.4387,-0.9463652408,-0.3313449447,1188100,64,-0.9290427318,-0.5042728154,-0.3411170978,-0.5475238245,0.209665296,1.3293539661,-0.4339501981,28.5417534094,33.3312904172
194,NiPi 20,,27,2,2014,,-41.431,-71.5655,1061,45,W,260,matorral,70,0,NA,0,NA,0,NA,0,NA,NA,20,10,30,285640.105852312,5410219.24644269,-71.5655,-41.431,-1.0682156266,3.2021706939,1125721,2025,-1.0259191578,5.0864593984,0.9924284971,-0.5475238245,-0.1523693742,1.3293539661,1.0841872508,17.5690009417,-13.0330181707
195,NiPi 21,,27,2,2014,,-41.4313,-71.5662,1036,10,,260,abierto,50,0,NA,0,5,0,10,3,NA,NA,30,10,15,285582.600433826,5410184.20236637,-71.5662,-41.4313,-1.1732590627,-0.1403440994,1073296,100,-1.1073367285,-0.4016382617,1.6592012945,-0.3592556656,-0.1523693742,0.1173372687,-1.1648340252,5.037242089,-21.3841996797
196,NiPi1,26/02/14,26,2,2014,,-41.4010166667,-71.58445,1171,5,E,95,forest,50,2,NA,NA,NA,0,0,0,15,30,0,8,20,283957.201180492,5413501.22710303,-71.58445,-41.4010166667,-0.6060245078,-0.6178462127,1371241,25,-0.6446193594,-0.6154602485,-0.3411170978,-0.5475238245,-0.2971832423,0.5213428345,0.4681864918,-42.9058777626,19.5084239759
197,NiPi10,26/02/14,26,2,2014,,-41.3947,-71.5945833333,1494,15,E,80,forest,60,2,NA,NA,NA,0,0,0,0,0,0,8,30,283089.031920969,5414177.23911819,-71.5945833333,-41.3947,0.7511366865,0.3371580139,2232036,225,0.6922206538,-0.0452682838,-0.3411170978,-0.5475238245,-0.2971832423,1.3293539661,-0.0672745649,-38.1905770076,-4.2153510998
198,NiPi2,26/02/14,26,2,2014,,-41.40055,-71.5843333333,1193,5,SE,120,forest,20,3,NA,NA,NA,0,0,0,0,0,0,15,0,283965.407939861,5413553.33298414,-71.5843333333,-41.40055,-0.5135862841,-0.6178462127,1423249,25,-0.5638494021,-0.6154602485,-0.3411170978,-0.5475238245,0.209665296,-1.0946794287,-0.0336239886,-27.2482914317,22.1423540419
199,NiPi3,26/02/14,26,2,2014,,-41.3978833333,-71.58495,1256,2,SO,205,forest,60,2,NA,NA,NA,0,10,15,4,28,0,8,0,283905.014136222,5413847.87811674,-71.58495,-41.3978833333,-0.2488768251,-0.9043474807,1577536,4,-0.3242371423,-0.6753304048,-0.3411170978,0.3938169701,-0.2971832423,-1.0946794287,1.1207750009,-25.8855507208,8.2544884166
200,NiPi4,26/02/14,26,2,2014,,-41.39525,-71.5844,1283,0,,,quemado,40,3,NA,NA,NA,1,2,15,18,50,0,20,20,283942.269690979,5414141.63375224,-71.5844,-41.39525,-0.1354299141,-1.0953483261,1646089,0,-0.2177723122,-0.6867342441,-0.3411170978,0.3938169701,0.5716999662,0.5213428345,0.2061010663,-6.4788942253,2.6946296929
201,NiPi5,26/02/14,26,2,2014,,-41.39545,-71.5890666667,1373,10,SE,130,forest,78,1,NA,NA,13,0,0,0,20,100,0,3,30,283552.763216246,5414107.7715382,-71.5890666667,-41.39545,0.2427264558,-0.1403440994,1885129,100,0.1534638552,-0.4016382617,-0.3411170978,-0.5475238245,-0.6592179126,1.3293539661,0.1759685726,-37.3341070478,26.7696145559
202,NiPi6,26/02/14,26,2,2014,,-41.396,-71.5920833333,1431,8,SE,110,forest,45,3,NA,NA,13,0,8,1,0,0,0,20,0,283302.374680921,5414039.15824122,-71.5920833333,-41.396,0.4864272275,-0.3313449447,2047761,64,0.406036146,-0.5042728154,-0.3411170978,-0.4847677715,0.5716999662,-1.0946794287,0.7241815498,-37.6764652366,-10.6777855635
203,NiPi7,26/02/14,26,2,2014,,-41.3963666667,-71.59195,1439,8,E,70,forest,60,2,NA,NA,11,0,0,0,5,40,0,3,16,283314.740974655,5413998.78036209,-71.59195,-41.3963666667,0.5200411271,-0.3313449447,2070721,64,0.4416937029,-0.5042728154,-0.3411170978,-0.5475238245,-0.6592179126,0.1981383818,0.7318727514,-27.5112559396,10.8297165638
204,NiPi8,26/02/14,26,2,2014,,-41.3948,-71.5921166667,1480,4,E,160,forest,40,3,NA,NA,9,4,6,2,0,0,0,10,4,283295.599134585,5414172.312709,-71.5921166667,-41.3948,0.6923123623,-0.7133466354,2190400,16,0.6275587183,-0.6411188869,-0.3411170978,-0.4220117185,-0.1523693742,-0.7714749761,-0.1251287605,-3.213872243,-40.9726727478
205,NiPi9,26/02/14,26,2,2014,,-41.3952333333,-71.5952333333,1518,20,E,80,forest,70,1,NA,NA,8,0,0,0,25,70,0,10,30,283036.461094196,5414116.3936273,-71.5952333333,-41.3952333333,0.8519783851,0.8146601273,2304324,400,0.804486049,0.4536496853,-0.3411170978,-0.5475238245,-0.1523693742,1.3293539661,-0.4023011895,-43.3586124836,-10.940138199
210,PAR 1,,12,2,2014,,-41.4036,-71.5773,1022,5,E,,forest,60,1,2,0.25,8,0,10,5,3,50,25,1,30,284563.483425917,5413232.21412533,-71.5773,-41.4036,-1.2320833869,-0.6178462127,1044484,25,-1.1520826139,-0.6154602485,1.3258148958,-0.2337435596,-0.8040317806,1.3293539661,-0.995862124,-24.9947418537,15.0355115924
211,PAR 2,,13,2,2014,,-41.4159,-71.6427,1179,2,NE,50,forest,75,3,0,0,5,0,3,5,10,25,0,10,0,279137.906421967,5411701.68901992,-71.6427,-41.4159,-0.5724106083,-0.9043474807,1390041,4,-0.6154224051,-0.6753304048,-0.3411170978,-0.2337435596,-0.1523693742,-1.0946794287,0.8516424139,-6.8005338986,2.7230357574
212,PAR 3,,13,2,2014,,-41.4185,-71.6417,1210,15,NE,70,forest,90,1,1,0.0714285714,14,4,2.8,10,NA,NA,0,5,10,279230.299782391,5411415.55617229,-71.6417,-41.4185,-0.4421567475,0.3371580139,1464100,225,-0.5004065947,-0.0452682838,-0.3411170978,0.0800367052,-0.5144040445,-0.2866682971,1.0983186249,17.3559791778,-18.2128956998
213,PAR 4,,13,2,2014,,-41.4189,-71.6428,1254,15,NE,30,abierto,80,3,2,0.1666666667,12,4,2,5,NA,NA,0,15,30,279139.71959101,5411368.33635309,-71.6428,-41.4189,-0.2572803,0.3371580139,1572516,225,-0.3320333503,-0.0452682838,-0.3411170978,-0.2337435596,0.209665296,1.3293539661,-0.3799336333,8.984023407,-34.5110245974
214,PAR 5,,13,2,2014,,-41.4203,-71.644,1299,15,NE,25,forest,75,3,2,0.1818181818,11,5,NA,0,NA,NA,0,5,1,279044.174934435,5411209.827485,-71.644,-41.4203,-0.068202115,0.3371580139,1687401,225,-0.1536135583,-0.0452682838,-0.3411170978,-0.5475238245,-0.5144040445,-1.0138783156,-0.6506947793,-11.0745738548,5.2685080417
215,PAR 6,,13,2,2014,,-41.4218,-71.6451,1400,20,NE,15,forest,50,3,2,0.1666666667,12,0,3,3,NA,NA,10,30,0,278957.331532953,5411040.46934779,-71.6451,-41.4218,0.3561733668,0.8146601273,1960000,400,0.2697407256,0.4536496853,0.3256556996,-0.3592556656,1.2957693066,-1.0946794287,-0.4246107198,1.3975688316,-32.2699243017
216,PAR 7,,13,2,2014,,-41.4231,-71.6467,1490,35,E,110,forest,60,1,1,0.1428571429,7,0,NA,0,3,25,0,5,30,278828.027133466,5410892.03860776,-71.6467,-41.4231,0.7343297367,2.2471664673,2220100,1225,0.6736836939,2.8056915396,-0.3411170978,-0.5475238245,-0.5144040445,1.3293539661,-0.1995423358,-29.0566735133,-7.8270778098
217,Polenta 1,,7,1,2013,,-41.4095,-71.6377,1236,0,SW,250,forest,70,2,1,0.0666666667,15,1,NA,0,20,50,0,0,0,279534.160877117,5412425.04429829,-71.6377,-41.4095,-0.332911574,-1.0953483261,1527696,0,-0.4016401317,-0.6867342441,-0.3411170978,-0.5475238245,-0.8764387147,-1.0946794287,0.8109069147,19.271955375,-9.8099994133
218,Polenta 11,,13,1,2013,,-41.3909,-71.578,1087,4,SW,,quemado,95,1,1,0.1,10,0,6,8,20,43,0,5,12,284462.981032465,5414640.5712857,-71.578,-41.3909,-0.9589704531,-0.7133466354,1181569,16,-0.9391855673,-0.6411188869,-0.3411170978,-0.0454754007,-0.5144040445,-0.1250660708,-0.7045584832,-39.9250299081,26.5327094109
219,Polenta 12,,15,1,2013,,-41.3925,-71.6092,1614,10,NE ,,forest,30,1,1,0.0625,16,1,NA,0,10,23,0,0,2,281859.589600664,5414384.7867974,-71.6092,-41.3925,1.2553451797,-0.1403440994,2604996,100,1.2714385295,-0.4016382617,-0.3411170978,-0.5475238245,-0.8764387147,-0.9330772024,-0.0606298895,-10.5996101167,24.3639316666
220,Polenta 13,,15,1,2013,,-41.3924,-71.6082,1620,20,NE,,alto_andino,58,0,NA,0,12,0,2,0,NA,NA,30,10,0,281942.866840095,5414398.40887752,-71.6082,-41.3924,1.2805556044,0.8146601273,2624400,400,1.3015735136,0.4536496853,1.6592012945,-0.5475238245,-0.1523693742,-1.0946794287,-0.1659554926,6.192581225,14.6683026486
221,Polenta 14,,15,1,2013,,-41.3925,-71.6075,1619,10,NE,,forest,55,1,2,0.1818181818,11,3,6,0,NA,NA,0,25,0,282001.729438306,5414389.06836652,-71.6075,-41.3925,1.276353867,-0.1403440994,2621161,100,1.2965432511,-0.4016382617,-0.3411170978,-0.5475238245,0.9337346364,-1.0946794287,-1.2471154308,-20.0429400575,-14.1546192295
222,Polenta 15,,15,1,2013,,-41.3929,-71.6064,1624,20,NE ,,forest,60,1,2,0.1111111111,18,0,NA,0,NA,NA,0,0,3,282095.039074259,5414347.42462455,-71.6064,-41.3929,1.2973625542,0.8146601273,2637376,400,1.3217256242,0.4536496853,-0.3411170978,-0.5475238245,-0.8764387147,-0.8522760892,-0.914096301,-19.6465556944,-31.3465125326
223,Polenta 16,,15,1,2013,,-41.3921,-71.6098,1601,4,NE ,,forest,60,1,1,0.0526315789,19,0,13,40,5,15,0,0,0,281808.084044473,5414427.68768036,-71.6098,-41.3921,1.200722593,-0.7133466354,2563201,16,1.2065296623,-0.6411188869,-0.3411170978,1.9627182944,-0.8764387147,-1.0946794287,0.5835618637,-18.3186701871,-40.0464286907
224,Polenta 17,,15,1,2013,,-41.3913,-71.6081,1574,5,NE ,,forest,10,1,2,NA,NA,0,NA,0,NA,NA,0,0,20,281947.549445085,5414520.79559052,-71.6081,-41.3913,1.087275682,-0.6178462127,2477476,25,1.0733962099,-0.6154602485,-0.3411170978,-0.5475238245,-0.8764387147,0.5213428345,0.5489173235,-36.8514962569,-6.289362117
225,Polenta 18,,15,1,2013,,-41.3906,-71.607,1566,5,NE ,,forest,50,0,NA,0,NA,1,3,10,5,15,0,0,0,282037.184088947,5414601.2873269,-71.607,-41.3906,1.0536617824,-0.6178462127,2452356,25,1.0343841093,-0.6154602485,-0.3411170978,0.0800367052,-0.8764387147,-1.0946794287,0.5040928848,-17.2825504644,6.0331871901
226,Polenta 19,,15,1,2013,,-41.3896,-71.6065,1532,5,NE ,,forest,60,0,NA,0,NA,0,5,7,5,25,0,0,0,282075.649149765,5414713.57748774,-71.6065,-41.3896,0.9108027094,-0.6178462127,2347024,25,0.8708004079,-0.6154602485,-0.3411170978,-0.1082314537,-0.8764387147,-1.0946794287,0.5126893724,-28.7828129648,-25.4315222171
227,Polenta 2,,7,1,2013,si,-41.4085,-71.6363,1298,0,SW,230,forest,30,1,2,NA,NA,1,NA,0,10,15,0,0,0,279647.80544511,5412539.64164341,-71.6363,-41.4085,-0.0724038525,-1.0953483261,1684804,0,-0.1576467758,-0.6867342441,-0.3411170978,-0.5475238245,-0.8764387147,-1.0946794287,-0.7570174294,-16.4152829537,-22.5759023717
228,Polenta 20,,15,1,2013,,-41.3883,-71.6063,1498,2,NE ,,forest,60,0,NA,0,NA,0,15,20,NA,NA,0,0,1,282088.028075459,5414858.42195041,-71.6063,-41.3883,0.7679436363,-0.9043474807,2244004,4,0.7108073107,-0.6753304048,-0.3411170978,0.7075972349,-0.8764387147,-1.0138783156,0.1649510807,-35.7575979121,-7.2501796626
229,Polenta 21,,15,1,2013,,-41.3808,-71.62,1483,0,n ,,alto_andino,85,0,NA,0,NA,3,50,40,NA,NA,0,10,1,280917.281601669,5415656.59253216,-71.62,-41.3808,0.7049175746,-1.0953483261,2199289,0,0.6413635974,-0.6867342441,-0.3411170978,1.9627182944,-0.1523693742,-1.0138783156,0.4015454376,-48.9274583297,28.2226678034
230,Polenta 22,,15,1,2013,,-41.382,-71.6201,1498,0,n ,,matorral,80,1,1,NA,NA,0,3,20,5,17,0,5,0,280912.949567393,5415523.10154149,-71.6201,-41.382,0.7679436363,-1.0953483261,2244004,0,0.7108073107,-0.6867342441,-0.3411170978,0.7075972349,-0.5144040445,-1.0946794287,0.7867477035,0.9364342375,-31.2420537406
231,Polenta 23,,15,1,2013,,-41.3833,-71.6209,1512,5,n ,,forest,60,2,3,NA,NA,0,2,2,30,56,0,0,0,280850.417338785,5415376.7361591,-71.6209,-41.3833,0.8267679605,-0.6178462127,2286144,25,0.776251973,-0.6154602485,-0.3411170978,-0.4220117185,-0.8764387147,-1.0946794287,0.7641194189,15.0573262047,-13.4137455095
232,Polenta 24,,15,1,2013,,-41.3858,-71.6223,1561,20,n ,,matorral,40,0,NA,0,NA,0,4,3,30,80,0,20,2,280741.749071727,5415095.6129836,-71.6223,-41.3858,1.0326530952,0.8146601273,2436721,400,1.0101024934,0.4536496853,-0.3411170978,-0.3592556656,0.5716999662,-0.9330772024,-0.7021514868,-7.7730623504,-4.5049602516
233,Polenta 25,,15,1,2013,,-41.3851,-71.6198,1550,10,n ,,forest,35,0,NA,0,NA,0,NA,0,2,15,12,0,0,280948.448894996,5415179.66214524,-71.6198,-41.3851,0.9864339833,-0.1403440994,2402500,100,0.9569562715,-0.4016382617,0.4590102591,-0.5475238245,-0.8764387147,-1.0946794287,0.2980420132,-36.4943355725,18.7060858847
234,Polenta 26,,15,1,2013,,-41.3868,-71.6161,1528,20,n ,,forest,30,1,3,0.2,15,0,NA,0,NA,NA,0,0,10,281263.549400651,5415000.26100436,-71.6161,-41.3868,0.8939957596,0.8146601273,2334784,400,0.8517913271,0.4536496853,-0.3411170978,-0.5475238245,-0.8764387147,-0.2866682971,-0.8913357816,-2.8784494989,-16.7867869114
235,Polenta 27,,15,1,2013,,-41.3874,-71.6124,1534,3,n ,,forest,50,2,2,0.1,20,1,2,5,10,30,0,0,0,281574.949465148,5414942.98158253,-71.6124,-41.3874,0.9192061842,-0.8088470581,2353156,9,0.8803235847,-0.6610756057,-0.3411170978,-0.2337435596,-0.8764387147,-1.0946794287,0.5598118775,-13.9029665654,-2.2128143489
236,Polenta 3,,8,1,2013,,-41.4158,-71.6339,1176,10,SW,240,forest,40,2,2,0.1818181818,11,2,NA,0,20,50,0,0,0,279873.088900516,5411735.21291103,-71.6339,-41.4158,-0.5850158206,-0.1403440994,1382976,100,-0.6263945584,-0.4016382617,-0.3411170978,-0.5475238245,-0.8764387147,-1.0946794287,-0.854977687,-42.2911761149,3.4220489356
237,Polenta 4,,8,1,2013,,-41.4169,-71.6342,1150,5,SE,150,forest,80,1,2,0.1428571429,14,0,6,20,10,20,0,1,0,279851.731578421,5411612.31419419,-71.6342,-41.4169,-0.6942609941,-0.6178462127,1322500,25,-0.7203155694,-0.6154602485,-0.3411170978,0.7075972349,-0.8040317806,-1.0946794287,-0.9461434006,-46.7255142571,-1.1184219568
238,Polenta 5,,8,1,2013,,-41.4056,-71.6494,1315,10,SW,220,forest,30,1,2,0.1176470588,17,2,NA,0,20,20,0,0,0,278542.903131515,5412828.20284148,-71.6494,-41.4056,-0.0009743159,-0.1403440994,1729225,100,-0.0886596532,-0.4016382617,-0.3411170978,-0.5475238245,-0.8764387147,-1.0946794287,-1.0312871065,-37.0622613178,24.2293699372
239,Polenta 6,,8,1,2013,,-41.4036,-71.6497,1299,5,SW,210,forest,20,1,4,0.2666666667,15,3,NA,0,30,1,0,0,0,278511.027668143,5413049.50000741,-71.6497,-41.4036,-0.068202115,-0.6178462127,1687401,25,-0.1536135583,-0.6154602485,-0.3411170978,-0.5475238245,-0.8764387147,-1.0946794287,-0.8542057942,-5.5489243791,28.4911416247
240,Polenta 7,,8,1,2013,,-41.4025,-71.6494,1342,10,SW,200,forest,40,2,2,0.2,10,0,NA,0,40,45,0,0,8,278532.369237081,5413172.40314623,-71.6494,-41.4025,0.1124725951,-0.1403440994,1800964,100,0.0227531288,-0.4016382617,-0.3411170978,-0.5475238245,-0.8764387147,-0.4482705234,-1.0517926576,-26.0665434064,10.711576237
241,Polenta 8,,8,1,2013,,-41.4058,-71.6495,1236,5,SE,130,forest,40,3,2,0.4,5,2,NA,0,1,12,0,0,1,278535.223266709,5412805.74051783,-71.6495,-41.4058,-0.332911574,-0.6178462127,1527696,25,-0.4016401317,-0.6154602485,-0.3411170978,-0.5475238245,-0.8764387147,-1.0138783156,-0.8952276399,-45.1382551612,23.9889928241
242,Polenta 9,,13,1,2013,,-41.3884,-71.582,1200,5,NE ,,quemado,93,3,3,0.5,6,1,5,15,10,35,10,2,0,284120.250853821,5414908.18520242,-71.582,-41.3884,-0.484174122,-0.6178462127,1440000,25,-0.5378346052,-0.6154602485,0.3256556996,0.3938169701,-0.7316248466,-1.0946794287,-0.4890942561,-35.5248901185,13.9608943194
243,Polenta al horno,,9,1,2013,,-41.412,-71.5682,1000,0,n ,,matorral,60,2,NA,NA,6,0,NA,6,NA,NA,0,40,0,285351.88645347,5412322.15623424,-71.5682,-41.412,-1.3245216107,-1.0953483261,1000000,0,-1.2211675774,-0.6867342441,-0.3411170978,-0.1709875066,2.0198386471,-1.0946794287,-0.5426972149,-37.1416682499,21.609524656
244,Polenta10,,13,1,2013,,-41.3884,-71.5816,1186,10,NE ,,quemado,75,2,3,0.2727272727,11,1,15,5,40,72,0,5,3,284153.697538659,5414909.18234112,-71.5816,-41.3884,-0.5429984462,-0.1403440994,1406596,100,-0.589712002,-0.4016382617,-0.3411170978,-0.2337435596,-0.5144040445,-0.8522760892,-1.1855568708,-5.8218841236,13.3092437909
245,T1,,12,1,2014,,-41.3878,-71.6056,1489,8,NE,65,matorral,80,2,3,0.3333333333,9,0,4.8,1,NA,NA,0,2,5,282144.889658238,5414915.69910104,-71.6056,-41.3878,0.7301279993,-0.3313449447,2217121,64,0.6690572191,-0.5042728154,-0.3411170978,-0.4847677715,-0.7316248466,-0.6906738629,-0.4319223012,8.0833394323,-16.0795562086
246,T10,,14,1,2014,,-41.379,-71.6174,1480,6,s ,175,forest,65,1,4,0.4444444444,9,0,5,2,NA,NA,0,5,30,281128.671688941,5415863.02342593,-71.6174,-41.379,0.6923123623,-0.5223457901,2190400,36,0.6275587183,-0.5840996904,-0.3411170978,-0.4220117185,-0.5144040445,1.3293539661,0.3360415181,-26.7482582731,-9.4293577128
247,T11,,15,1,2014,,-41.3706,-71.606,1611,15,NE,45,matorral,45,1,1,0.125,8,0,NA,0,NA,NA,0,8,10,282053.983943962,5416824.43425833,-71.606,-41.3706,1.2427399674,0.3371580139,2595321,225,1.2564129693,-0.0452682838,-0.3411170978,-0.5475238245,-0.2971832423,-0.2866682971,0.4100557979,-31.9170020177,-21.4970862797
248,T12,,15,1,2014,,-41.3702,-71.6023,1473,25,E,80,forest,60,1,1,0.1666666667,6,0,NA,0,NA,NA,2,8,0,282362.116924478,5416878.14955427,-71.6023,-41.3702,0.6629002002,1.2921622406,2169729,625,0.5954560459,1.0951156456,-0.2077625383,-0.5475238245,-0.2971832423,-1.0946794287,0.4205894957,-27.2677263543,0.2567203493
249,T13,,15,1,2014,,-41.3637,-71.5955,1146,15,NE,50,quemado,60,0,3,0,4,0,6.6,2,NA,NA,0,15,2,282909.24934576,5417616.91466137,-71.5955,-41.3637,-0.7110679439,0.3371580139,1313316,225,-0.7345785921,-0.0452682838,-0.3411170978,-0.4220117185,0.209665296,-0.9330772024,-1.0186653531,5.7323655156,-1.3689005931
250,T14,,15,1,2014,,-41.3638,-71.5954,1141,20,NE,70,quemado,45,0,NA,0,10,0,16,10,40,50,15,1,5,282917.946797912,5417606.0621255,-71.5954,-41.3638,-0.7320766311,0.8146601273,1301881,400,-0.7523374843,0.4536496853,0.6590420983,0.0800367052,-0.8040317806,-0.6906738629,0.1179397153,10.6157648737,-19.9668881193
251,T2,,12,1,2014,,-41.3892,-71.6054,1510,4,NE,60,forest,70,2,NA,NA,18,3,NA,0,NA,NA,0,0,30,282166.289849504,5414760.75798066,-71.6054,-41.3892,0.8183644856,-0.7133466354,2280100,16,0.7668654629,-0.6411188869,-0.3411170978,-0.5475238245,-0.8764387147,1.3293539661,0.6110220909,-42.5398352654,2.2347078464
252,T3,,13,1,2014,,-41.3849,-71.6216,1541,5,NE,20,forest,80,2,2,0.3333333333,6,2,NA,0,NA,NA,0,1,30,280797.258388283,5415197.31371862,-71.6216,-41.3849,0.9486183463,-0.6178462127,2374681,25,0.9137525443,-0.6154602485,-0.3411170978,-0.5475238245,-0.8040317806,1.3293539661,-0.8865058528,-32.8963714818,-12.5315093593
253,T4,,13,1,2014,,-41.3885,-71.6234,1686,30,NE,15,matorral,90,1,3,0.375,8,0,NA,0,10,7,0,1,30,280658.848069829,5414793.04134034,-71.6234,-41.3885,1.5578702757,1.7696643539,2842596,900,1.6404383345,1.879129597,-0.3411170978,-0.5475238245,-0.8040317806,1.3293539661,-0.7066441116,-9.613794289,-4.8257579508
254,T5,,13,1,2014,,-41.3938,-71.6239,2015,10,NE,20,alto_andino,10,0,NA,0,10,0,2,2,NA,NA,90,0,30,280634.870946675,5414203.30575988,-71.6239,-41.3938,2.9402418946,-0.1403440994,4060225,100,3.53145207,-0.4016382617,5.6598380791,-0.4220117185,-0.8764387147,1.3293539661,-0.4788422362,3.6540757049,-26.6909287311
255,T6,,13,1,2014,,-41.3871,-71.6227,1639,20,NE,40,forest,60,2,3,0.3,10,0,NA,0,15,30,0,5,30,280712.672227035,5414950.25878963,-71.6227,-41.3871,1.3603886158,0.8146601273,2686321,400,1.3977386522,0.4536496853,-0.3411170978,-0.5475238245,-0.5144040445,1.3293539661,-0.706711519,-37.3027402638,-10.4890775464
256,T7,,14,1,2014,,-41.3792,-71.621,1460,10,W,260,forest,50,3,3,0.2727272727,11,0,NA,0,5,25,0,4,0,280828.278911892,5415831.71301129,-71.621,-41.3792,0.6082776134,-0.1403440994,2131600,100,0.5362405847,-0.4016382617,-0.3411170978,-0.5475238245,-0.5868109785,-1.0946794287,-0.7228204723,-38.3977778136,11.4674627899
257,T8,,14,1,2014,,-41.3822,-71.622,1508,5,NW,345,forest,85,2,4,0.4444444444,9,0,8.9,8,2,7,0,1,30,280754.733842811,5415496.08680231,-71.622,-41.3822,0.8099610107,-0.6178462127,2274064,25,0.7574913769,-0.6154602485,-0.3411170978,-0.0454754007,-0.8040317806,1.3293539661,-0.9843812472,-27.7772499467,-8.6876726734
258,T9,,14,1,2014,,-41.3821,-71.6209,1499,5,NW,330,matorral,80,1,1,0.1,10,0,NA,0,NA,NA,0,1,30,280846.385356414,5415509.97420904,-71.6209,-41.3821,0.7721453737,-0.6178462127,2247001,25,0.71546174,-0.6154602485,-0.3411170978,-0.5475238245,-0.8040317806,1.3293539661,0.8277221759,0.2992480226,12.7805871445
259,Tábano 1,,13,1,2013,,-41.3924,-71.5808,1162,3,E,,quemado,95,3,2,0.2857142857,7,5,5,90,15,28,0,12,5,284233.826910054,5414467.05063921,-71.5808,-41.3924,-0.6438401448,-0.8088470581,1350244,9,-0.6772283194,-0.6610756057,-0.3411170978,5.1005209429,-0.0075555062,-0.6906738629,0.5577065467,18.2722944298,-5.6778124933
260,Tábano 10,,15,1,2013,,-41.3879,-71.6149,1554,12,n ,,forest,70,2,5,0.5,10,0,15,5,15,20,0,0,30,281367.580111274,5414881.15662683,-71.6149,-41.3879,1.0032409331,0.0506567459,2414916,144,0.9762386855,-0.2761960295,-0.3411170978,-0.2337435596,-0.8764387147,1.3293539661,0.7425073716,-27.3629655849,5.3208799521
261,Tábano 11,,15,1,2013,,-41.3869,-71.616,1539,3,n ,,forest,90,1,1,0.1666666667,6,0,NA,0,20,40,0,0,5,281272.246703187,5414989.41042803,-71.616,-41.3869,0.9402148715,-0.8088470581,2368521,9,0.9041858827,-0.6610756057,-0.3411170978,-0.5475238245,-0.8764387147,-0.6906738629,0.8740085965,-38.3916211933,6.3360922284
262,Tábano 12,,15,1,2013,,-41.3858,-71.6155,1519,1,n ,,matorral,80,3,3,0.375,8,4,5,3,30,70,0,40,0,281310.36754043,5415112.80813405,-71.6155,-41.3858,0.8561801226,-0.9998479034,2307361,1,0.8092025996,-0.6838832843,-0.3411170978,-0.3592556656,2.0198386471,-1.0946794287,0.7045533316,16.5898565234,-0.4863760785
263,Tábano 13,,15,1,2013,,-41.3864,-71.6128,1518,1,n ,,forest,90,2,1,0.1666666667,6,1,5,5,20,50,0,15,0,281538.152298688,5415053.00421477,-71.6128,-41.3864,0.8519783851,-0.9998479034,2304324,1,0.804486049,-0.6838832843,-0.3411170978,-0.2337435596,0.209665296,-1.0946794287,1.0687023486,-51.8168804042,17.4447861198
